"Status"	"Evidence ID"	"Gene"	"Variant"	"Description"	"Disease"	"Drugs"	"Evidence Level"	"Evidence Type"	"Evidence Direction"	"Clinical Significance"	"Variant Origin"	"Trust Rating"
"accepted"	"951"	"ABCC3"	"AMPLIFICATION"	"44 cell lines and 145 patient samples were utilized in various aspects of this study. 31 breast cancer cell lines for in vitro sensitivity to paclitaxel and Monomethyl Auristatin E (MMAE). Genome wide amplification was assessed by Affymetrix SNP arrays and expression was assessed by Affymetrix gene expression arrays. ABCC3 amplification (and expression) in ERBB2 (HER2) amplified breast cancer cell lines was associated with resistance to paclitaxel and  MMAE. Three independently derived EVSA-T cell lines overexpressing ABCC3 were at least 20-fold less sensitive to paclitaxel and MMAE based on EC50 values."	"Breast Cancer"	"Monomethyl Auristatin E, Paclitaxel"	"D"	"Predictive"	"Supports"	"Resistance or Non-Response"	"Somatic Mutation"	3
"accepted"	"767"	"ALK"	"EML4-ALK AMPLIFICATION"	"One patient with ALK-rearranged non-small cell lung cancer and an acquired resistance to crizotinib showed new ALK amplification (4.1 fold increase compared to pre-crizotinib specimen as measured by FISH) and harbored an EGFR L858R mutation."	"Non-small Cell Lung Carcinoma"	"Crizotinib"	"C"	"Predictive"	"Supports"	"Resistance or Non-Response"	"Somatic Mutation"	2
"accepted"	"766"	"ALK"	"EML4-ALK AMPLIFICATION"	"Two out of 11 patients with an acquired crizotinib resistance showed new ALK copy-number gain (defined as more than 2-fold increase in the mean of the rearranged gene per cell in the posttreatment specimen compared with the pretreatment specimen), both with >4 fold increase. One of them also harbored a resistance mutation (G1269A)."	"Non-small Cell Lung Carcinoma"	"Crizotinib"	"D"	"Predictive"	"Supports"	"Resistance or Non-Response"	"Somatic Mutation"	3
"accepted"	"440"	"ALK"	"EML4-ALK AMPLIFICATION"	"Amplification of wild-type EML4-ALK in the non-small cell lung carcinoma cell line, H3122, caused resistance to crizotinib."	"Non-small Cell Lung Carcinoma"	"Crizotinib"	"D"	"Predictive"	"Supports"	"Resistance or Non-Response"	"Somatic Mutation"	3
"accepted"	"953"	"ASNS"	"AMPLIFICATION"	"ASNS amplification and expression was associated with resistance to L-asparaginase in ovarian cancer and leukemia cell lines. ASNS silencing increased sensitivity to l-ASP in 2/3 of ovarian cancer cell lines."	"Ovarian Cancer"	"L-asparaginase"	"D"	"Predictive"	"Supports"	"Resistance or Non-Response"	"Somatic Mutation"	2
"accepted"	"456"	"AURKA"	"AMPLIFICATION"	"Antitumour effect of alisertib treatment in esophageal adenocarcinomas can be intensified in combination with cisplatin."	"Esophagus Adenocarcinoma"	"Alisertib; Cisplatin"	"E"	"Predictive"	"Supports"	"Sensitivity"	"Somatic Mutation"	3
"accepted"	"661"	"BIRC7"	"AMPLIFICATION"	"Livin (BIRC7) overexpression in two colon cancer cell lines (RKO and SW620) increased resistance of these cells to cisplatin. siRNA knockdown of Livin rendered the cells more sensitive to cisplatin. The study also further showed that cytoplasmic Livin levels increased in four colon cancer cell lines (RKO, SW620, HCT116, and KM12C) after cisplatin treatment in a dose-dependent manner. This study highlighted Livin as a potential player in colon cancer therapy."	"Colon Cancer"	"Cisplatin"	"D"	"Predictive"	"Supports"	"Resistance or Non-Response"	"Somatic Mutation"	4
"accepted"	"92"	"BRAF"	"V600E AMPLIFICATION"	"COLO201 and COLO206F cells harboring BRAF V600E mutations were cloned to be MEK inhibitor (AZD6244) resistant. The mechanim of this resistence was shown to be amplification of the BRAF V600E gene."	"Colorectal Cancer"	"AZD6244"	"E"	"Predictive"	"Supports"	"Resistance or Non-Response"	"Somatic Mutation"	4
"accepted"	"1495"	"CCND1"	"AMPLIFICATION"	"Retrospective analysis of somatic mutations and copy number changes in 119 patient treated with carboplatin, paclitaxel, ± sorafenib (CPS) in the E2603 trial. CPS therapy was associated with improved progression-free survival (PFS) compared with CP in patients with tumors with CCND1 gene copy gains (HR, 0.45; P = 0.035)."	"Skin Melanoma"	"Sorafenib, Paclitaxel, Carboplatin"	"B"	"Predictive"	"Supports"	"Sensitivity"	"Somatic Mutation"	2
"accepted"	"858"	"CCND1"	"AMPLIFICATION"	"In this retrospective analysis, CCND1 amplification was analyzed in 442 patients. No interaction with treatment was observed."	"Breast Cancer"	"Tamoxifen"	"B"	"Predictive"	"Does Not Support"	"Resistance or Non-Response"	"Somatic Mutation"	3
"accepted"	"354"	"CCND1"	"AMPLIFICATION"	"Inceased copy number of CCND1 is associated with poorer overall survival."	"Non-small Cell Lung Carcinoma"	"N/A"	"B"	"Prognostic"	"Supports"	"Poor Outcome"	"Somatic Mutation"	3
"accepted"	"466"	"CCNE1"	"AMPLIFICATION"	"In a retrospective study of 88 ovarian carcinomas, 18 had amplification of CCNE1. Those with amplification had worse overall and disease-free survival."	"Ovarian Carcinoma"	"N/A"	"B"	"Prognostic"	"Supports"	"Poor Outcome"	"Somatic Mutation"	4
"accepted"	"1366"	"CDK4"	"AMPLIFICATION"	"In a phase 2 clinical trial, NCT01209598, 30 patients with CDK4-amplified and RB-expressing well differentiated and dedifferentiated liposarcomas (WDLS/DDLS) were treated with a selective CDK 4/6 inhibitor, PD0332991. Treatment with PD0332991 was associated with favorable progression free survival rates (66% PFS rate, primary end point being greater than 40%) suggesting that CDK4 amplification is predictive of sensitivity to CDK4 inhibitor therapy."	"Liposarcoma"	"PD0332991"	"B"	"Predictive"	"Supports"	"Sensitivity"	"Somatic Mutation"	3
"accepted"	"854"	"EGFR"	"AMPLIFICATION"	"In this meta-analysis (14 studies, 1021 patients), EGFR gene copy number (GCN) was predictive of improved progression free survival (PFS) and overall survival (OS) with cetuximab or panitumumab regardless of KRAS status. For the pooled analysis, the objective response rate (ORR) was 65.2% (167/256) in patients with high EFGR GCN, while in patients with low EFGR GCN, the pooled ORR was 12.2% (44/361). The odds ratio (OR) was 6.905 (95% CI: 4.489-10.620; Z=8.79, P=0.000). In wild type KRAS patients, the pooled OR was 8.133 (95% CI: 4.316-15.326; Z=6.48, P=0.000)."	"Colorectal Cancer"	"Panitumumab, Cetuximab"	"B"	"Predictive"	"Supports"	"Sensitivity"	"Somatic Mutation"	3
"accepted"	"977"	"EGFR"	"AMPLIFICATION"	"In 290 patients with advanced NSCLC, 177 of which were treated with EGFR TKI (erlotinib or gefitinib). EGFR amplification (Multiplex ligation-dependent probe amplification; MLPA) and Mutation (PCR) were analzed. EGFR amplification was associated with EGFR mutation but not independently with patient benefit from EGFR TKI (overall and progression-free survival)."	"Non-small Cell Lung Carcinoma"	"Erlotinib, Gefitinib"	"B"	"Predictive"	"Does Not Support"	"Sensitivity"	"Somatic Mutation"	2
"accepted"	"948"	"EGFR"	"AMPLIFICATION"	"A meta-analysis of EGFR gene copy number as a predictive biomarker for patients receiving tyrosine kinase inhibitor treatment was performed. In total, 20 (1689 patients, 594 with increased gene copy number), 10 (822 patients, 290 with increased gene copy number) and 5 studies (294 patients, 129 with increased gene copy number) were analyzed for overall survival (OS), progression-free survival (PFS) and time-to-progression (TTP) meta-analyses respectively. EGFR amplification was associated with increased OS (HR = 0.77; 95% CI 0.66-0.89; P = 0.001), PFS (HR = 0.60; 95% CI 0.46-0.79; P<0.001) and TTP (HR = 0.50; 95% CI 0.28-0.91; P = 0.02). This effect was shown to influence survival in predominantly white patient populations but not patients of Asian descent."	"Non-small Cell Lung Carcinoma"	"EGFR Inhibitor"	"B"	"Predictive"	"Supports"	"Sensitivity"	"Somatic Mutation"	4
"accepted"	"911"	"EGFR"	"AMPLIFICATION"	"87 patients with metastatic colorectal cancer treated with cetuximab were retrospectively analyzed for EGFR amplifications by FISH. In multivariate analysis, EGFR amplification predicted response and overall survival independent of KRAS status."	"Colorectal Cancer"	"Cetuximab"	"B"	"Predictive"	"Supports"	"Sensitivity"	"Somatic Mutation"	3
